ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
SODA DOLCE;100;22;92;93,8;2;0;2;5,8;0;5,8;0;0;0;0;0;0;0;0;0;0;0;2;5;7;15;2;2;2;2;2;2;2;2;2;2;2;0
SOFFICINI AL FORMAGGIO SURGELATI;100;278;1163;56,4;7,2;3;3,8;28,6;27,8;0,8;15,8;3,14;3,78;7,55;3,78;7,16;0,39;0;31;1,4;0;0,3;112;460;150;210;1,3;0,23;0,12;0,2;1;0,06;8;118;50;0,6;0
SOGLIOLA [SOLEA SOLEA];48;86;360;79,5;16,9;16;0;0,8;0;0,8;1,7;0,22;0,33;0,96;0,16;2;0,09;0;57;0;0;0,8;12;120;280;195;0,4;0,05;0,05;1,7;2;0,19;5;2;2;0,4;2
SOGLIOLA SURGELATA;48;84;351;79,4;17,3;17;0;0,8;0;0,8;1,3;0,17;0,25;0,73;0,12;2;0,07;0;44;0;0;0,4;11;120;280;174;0,4;0,08;0,12;3,8;0;0,19;5;0;0;0,4;2
SOIA [GLYCINE MAX], SEMI;100;398;1665;8,5;36,9;0;36,9;23,3;12,3;11;18,1;2,54;4,12;10,67;4,03;9,3;1,38;0;0;11,9;0;6,9;257;4;1740;591;4,3;0,99;0,52;2,5;2;0,38;370;2;12;2,9;0
SOIA, BISTECCA;100;329;1377;7,3;47;0;47;20,9;11;9,9;1,2;0,14;0,21;0,53;0,21;0,47;0,06;0;0;17,5;0;9,2;241;20;2384;674;2,5;0,7;0,25;2,6;0;0,57;305;4;24;0,2;0
SOIA, GERMOGLI;98;49;205;86,3;6,2;0;6,2;3;0;3;1,4;0,2;0,32;0,83;0,31;0,72;0,11;0;0;1,1;0;1;48;30;218;67;1,2;0,23;0,2;0,8;13;0,18;172;24;144;0,2;0
SOTTILETTE;100;330;1381;45,7;20,8;20;0;0,9;0;0,9;27;16,14;8,61;0,74;7,1;0,36;0,38;0;85;0;0;0,5;600;1320;130;800;3,2;0,03;0,28;0,1;2;0,08;18;286;95;0,55;0
SPECK;100;301;1259;44,7;28,3;28;0;0,5;0;0,5;20,9;5,72;9,44;3,91;8,4;3,13;0,16;0;90;0;0;1,8;19;2752;855;170;4,4;0,14;0,14;1,1;0;0,62;1;2;0;0,11;0
SPIGOLA [MORONE LABRAX];54;82;343;79;16,5;16;0;0,6;0;0,6;1,5;0,24;0,36;0,3;0,24;2;0;0;64;0;0;1,1;20;69;256;202;0,3;0,11;0,16;3;2;0,3;9;15;2;0,5;2
SPINACI [SPINACIA OLERACEA];83;31;130;90,1;3,4;0;3,4;3;2,6;0,4;0,7;0,07;0,05;0,42;0,04;0,07;0,35;0;0;1,9;0;2,9;78;100;530;62;0,4;0,07;0,37;0,4;54;0,17;150;485;2910;1,71;0
SPINACI IN SCATOLA;63;19;79;91,8;2,8;0;2,8;0,8;2;0,8;0,5;0,08;0,01;0,21;0,01;0,03;0,17;0;0;3,1;0;1,9;120;200;290;36;0,5;0,02;0,05;0,4;14;0,1;98;576;3455;1,71;0
SPREMUTA DI ARANCIA;100;33;138;89,3;0,5;0;0,5;8,2;0;8,2;0;0;0;0;0;0;0;0;0;0;0;0,2;15;2;180;17;2;0,05;0,03;0,4;44;0,06;24;38;228;0,15;0
SPREMUTA DI POMPELMO;100;30;126;90;0,3;0;0,3;7,9;0;7,9;2;0;0;0;0;0;0;0;0;0;0;0,4;13;9;123;13;0,4;0,03;0,02;0,2;28;0,03;24;1;6;0,17;0
SPUMANTI AROMATICI;100;82;343;3;0,2;0;0,2;5,1;0;5,1;0;0;0;0;0;0;0;0;0;0;8;0,6;14;13;110;13;2;2;0,01;0,1;0;0,01;2;2;2;0;0
SPUMANTI DEMI0SEC;100;71;297;3;0,1;0;0,1;2,5;0;2,5;0;0;0;0;0;0;0;0;0;0;8;0,5;9;5;58;9;2;2;0,01;0,1;0;0,02;2;2;2;0;0
SPUMANTI SECCHI;100;65;272;3;0,1;0;0,1;0,7;0;0,7;0;0;0;0;0;0;0;0;0;0;8;0,5;9;4;61;6;2;2;0,01;0,1;0;0,02;2;2;2;0;0
