ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
DATTERI [PHOENIX DACTYLIFERA], freschi;100;124;519;60,7;1,5;0;1,5;31,3;0;31,3;0,1;0,04;0,03;0,01;0,03;0,01;2;0;0;3,6;0;0,3;24;7;410;28;0,2;0,06;0,07;0,7;14;0,12;25;3;18;0,1;0
DATTERI, secchi;90;253;1059;17,3;2,7;0;2,7;63,1;0;63,1;0,6;0,25;0,2;0,04;0,2;0,04;2;0;0;8,7;0;2,7;69;5;750;65;0,4;0,08;0,15;2,2;0;0,19;13;5;30;0,1;0
DENTICE [DENTEX DENTEX];65;101;423;76,1;16,7;16;0;0,7;0;0,7;3,5;0,45;0,68;1,98;0,33;2;0,18;1;70;0;0;1,2;38;77;350;264;0,5;0,08;0,1;2,1;2;0,19;5;48;2;0,4;2
DENTICE SURGELATO;65;103;431;80,1;17,2;17;0;0,7;0;0,7;3,5;0,45;0,68;1,98;0,33;2;0,18;1;70;0;0;0,8;30;77;350;188;0,5;0,08;0,15;3,3;0;0,19;5;0;0;0,4;2
DOLCE VERDE;100;266;1113;52,5;19,1;19;0;2,5;0;2,5;20;12,41;6,47;0,71;5,47;0,41;0,29;0;90;0;0;0,3;360;770;93;300;1;0,03;0,3;0,1;2;0,07;52;343;165;0,54;0
DOLCIFICANTE A BASE DI SACCARINA;100;397;1661;0,5;0;0;0;98,6;0;98,6;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
DOLCIFICANTE ASPARTAME;100;400;1674;0,5;0;0;0;97,5;0;70;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
DOLCIFICANTE FRUTTOSIO;100;400;1674;0,4;0;0;0;99,5;0;99,5;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
DOLCIFICANTE SACCARINA;100;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0
EDAM STAGIONATO;100;345;1443;42;29;29;0;1;0;1;25;15,8;7,31;0,6;6,21;0,38;0,22;0;102;0;0;0,5;750;1250;100;430;2,2;0,03;0,2;0,1;1;0,09;40;317;160;0,48;0
EDAM, FRESCO;100;306;1280;48;26;26;0;1;0;1;22;13,14;7;0,6;5,78;0,29;0,31;0;102;0;0;0,5;675;1250;100;387;2,2;0,03;0,2;0,1;1;0,09;40;283;140;0,42;0
EMMENTHAL;100;403;1686;34,6;28,5;28;0;3,6;0;3,6;30,6;18,4;9,82;1,82;9,05;1,37;0,45;0;100;0;0;0,3;1145;450;107;700;5;0,01;0,45;0,1;1;0,09;20;136;70;0,44;0
ERBA CIPOLLINA [ALLIUM SCHOENOPRASUM], fresca;100;23;96;91;2,8;0;2,8;1,7;2;1,7;0,6;0,12;0,08;0,22;0,08;0,21;0,01;0;0;1,9;0;1,6;85;5;230;50;0,4;0,1;0,18;0,7;45;0,2;105;383;2300;1,6;0
ESTRATTO DI CARNE BOVINA;100;219;916;18;54;54;0;0;0;0;0,4;0,17;0,2;0,02;0,17;0,01;0,01;2;2;0,9;0;1,3;37;3811;970;7;1;0,06;0,1;0,1;0;0,57;1050;0;0;2;0
FAGIANO [PHASIANUS COLCHICUS];85;144;602;69,2;24,3;24;0;0;0;0;5,2;1,51;2,42;0,66;1,72;0,45;0,06;0;71;0;0;8;49;70;290;308;1;0,17;0,19;11,3;0;0,66;6;0;0;0,3;0
FAGIOLI [PHASEOLUS VULGARIS];41;104;435;62,3;6,4;0;6,4;19,4;18,1;1,3;0,6;0,12;0,05;0,29;0,05;0,14;0,15;0;0;10,6;0;3;44;2;650;180;0,2;0,44;0,1;1;10;0,08;60;18;108;0,23;0
FAGIOLI ADUKI [VIGNA ANGULARIS], secchi;100;272;1138;12,7;19,9;0;19,9;50,1;44,7;1;0,5;0,19;3;3;0,05;0,11;3;3;0;11,1;0;4,2;84;5;1220;380;5;0,45;0,22;2,6;2;0,35;622;2;12;3;0
FAGIOLI IN SCATOLA;100;43;180;82;4,1;0;4,1;6,3;5,2;1,1;0,5;0,1;0,04;0,24;0,04;0,12;0,12;0;0;6,8;0;1,9;40;305;232;47;0,6;0,03;0,02;0,1;2;0,03;8;2;2;0,23;0
FAGIOLI MUNG [PHASEOLUS AUREUS], secchi;100;279;1167;11;23,9;0;23,9;46,3;40,9;1,5;1,1;0,22;0,08;0,53;0,08;0,26;0,27;0;0;13,9;0;6;89;12;1250;360;2,7;0,36;0,26;2,1;2;0,38;140;4;24;0,52;0
FAGIOLI, secchi;100;311;1301;10,7;23,6;0;23,6;51,7;47,7;4;2,5;0,5;0,19;1,2;0,19;0,58;0,62;0;0;17;0;6,7;137;4;1445;437;3,4;0,4;0,17;2,3;3;0,4;130;3;18;0,93;0
FAGIOLINI [PHASEOLUS VULGARIS];95;17;71;90,5;2,1;0;2,1;2,4;0;2,4;0,1;0,02;2;0,06;2;0,03;0,03;0;0;2,9;0;0,9;35;2;280;48;0,2;0,07;0,15;0,8;16;0,05;80;41;246;0,2;0
FAGIOLINI IN SCATOLA;54;22;92;90,3;1,5;0;1,5;4,1;3,1;1;0,1;0,02;2;0,06;2;0,03;0,03;0;0;2,6;0;1,9;53;340;110;27;0,2;0,02;0,05;0,2;2;0,05;10;9;53;0,18;0
FARAONA [NUMIDA MELEAGRIS];68;158;661;68,9;23,4;23;0;0;0;0;6,5;1,77;2,43;1,41;2;1,19;0,05;0;74;0;0;0,8;11;67;193;153;1,1;0,06;0,1;7,7;0;0,38;5;28;0;0,3;0
FARAONA, COSCIA;85;114;477;73,6;24,3;24;0;0,2;0;0,2;1,8;0,58;0,64;0,39;0,55;0,31;0,03;0;70;0;0;0,6;5;68;340;220;1,9;0,29;0,35;5,1;0;0,61;17;0;0;0,01;0
FARAONA, PETTO;85;107;448;75,3;25,1;25;0;0;0;0;0,7;0,23;0,25;0,15;0,21;0,12;0,01;0;57;0;0;0,3;4;50;360;230;1;0,14;0,15;9,1;0;0,81;9;0;0;2;0
FARINA DI AVENA;100;388;1623;9;12,6;0;12,6;72,9;72,9;0;7,1;1,24;2,57;2,86;2,56;2,71;0,15;2;0;7,6;0;4,2;80;33;370;342;3,3;0,52;0,17;2,4;0;0,12;60;0;0;1,39;0
FARINA DI CASTAGNE;100;323;1351;11;5,8;0;5,8;71,6;44,2;27,5;3,7;0,64;1,38;1,48;1,36;1,33;0,15;0;0;10,9;0;3,2;50;11;847;164;0,9;0,23;0,37;1;2;0,64;109;0;0;2,26;0
FARINA DI CECI;100;334;1397;13;21,8;0;21,8;54,3;50,6;3,7;4,9;0,63;1,36;2,69;1,35;2,59;0,1;0;0;13,8;0;6,1;117;6;800;299;3,3;0,36;0,14;1,7;5;0,53;180;30;180;2,61;0
FARINA DI COCCO;100;604;2527;2,3;5,6;0;5,6;6,4;0;6,4;62;53,27;4,08;1,05;3,85;1,05;0;0;0;21,1;0;3,6;23;28;660;160;0,9;0,03;0,05;0,9;0;0,09;9;0;0;1,26;0
FARINA DI FRUMENTO, INTEGRALE;100;321;1343;13,4;11,9;0;11,9;68,4;66,3;2,1;1,9;0,43;0,21;1,16;0,21;1,1;0,06;0;0;9,6;0;3;28;3;337;300;2,9;0,4;0,16;5;0;0,5;57;0;0;1,21;0
FARINA DI FRUMENTO, TIPO ;100;343;1435;14,2;11,5;0;11,5;76,9;75,1;1,8;1;0,23;0,11;0,61;0,11;0,58;0,03;0;0;3,5;0;0,9;18;2;140;160;0,6;0,25;0,04;1,2;0;0,15;22;0;0;0,23;0
FARINA DI FRUMENTO, TIPO ;100;343;1435;14,2;11;0;11;78;76,3;1,7;0,7;0,16;0,08;0,43;0,08;0,41;0,02;0;0;2,5;0;0,7;17;3;126;76;0,6;0,1;0,03;1;0;0,15;22;0;0;0,16;0
FARINA DI GRANO DURO;100;304;1272;14,2;12,6;0;12,6;61,1;58;3,1;2,8;0,51;0,39;1,11;0,38;1,06;0,06;0;0;3,5;0;3,5;29;2;418;320;4;0,42;0,15;5,5;0;0,41;42;0;0;0,98;0
FARINA DI GRANO SARACENO;100;364;1523;13,2;8,1;0;8,1;84,9;84,5;0,4;1,5;0,33;0,46;0,46;0,44;0,42;0,03;0;0;2,1;0;2;12;1;220;150;2,6;0,28;0,07;2,8;0;0,4;54;0;0;2;0
FARINA DI MAIS;100;365;1527;12,5;8,7;0;8,7;81,5;80;1,5;2,7;0,34;0,62;1,19;0,62;1,01;0,18;0;0;2,6;0;1,8;6;1;130;99;1;0,35;0,1;1,9;0;2;2;67;402;2;0
FARINA DI ORZO;100;360;1506;12,8;10,6;0;10,6;80;80;2;1,9;0,4;0,24;0,92;0,2;0,83;0,09;0;0;14,8;0;6;39;4;560;393;3,3;0,16;0,08;5,5;0;0,56;50;0;0;0,9;0
FARINA DI RISO;100;363;1519;12,3;7,3;0;7,3;87,8;87,8;2;0,5;0,14;0,16;0,13;0,15;0,11;0,02;0;0;0,7;0;0,4;7;4;104;90;0,8;0,05;0,04;1,4;0;0,44;4;0;0;0,13;0
FARINA DI SEGALE, integrale;100;335;1402;15;8,2;0;8,2;75,9;75,9;0;2;0,23;0,24;0,89;0,22;0,77;0,13;0;0;11,7;0;2,7;32;1;410;360;3;0,4;0,22;1;0;0,35;78;0;0;1,6;0
FARINA DI SEGALE, semi0integrale;100;316;1322;13,6;8,3;0;8,3;67,8;61,6;6,2;1,3;0,15;0,15;0,56;0,14;0,48;0,08;0;0;8;0;2,6;20;1;297;196;2,4;0,22;0,1;1,2;0;0,27;19;0;0;0,87;0
FARINA DI SOIA, a basso contenuto lipidico;100;352;1473;7;45,3;0;45,3;28,2;14,8;13,4;7,2;1;1,74;4,09;1,72;3,58;0,51;0;0;13,3;0;9,1;240;14;2030;640;3,2;0,9;0,29;2,4;0;0,52;410;4;24;0,2;0
FARINA DI SOIA, intera;100;447;1870;7;36,8;0;36,8;23,5;12,3;11,2;23,5;3,3;5,7;13,34;5,62;10,68;1,66;1;0;10,7;0;6,9;210;9;1660;600;3,9;0,75;0,28;2;0;0,46;345;12;72;1,5;0
FARINA LATTEA;100;415;1736;4;13,2;9;3,5;81,5;27,8;48,2;6,3;3;3;3;3;3;3;3;3;0;0;3,5;301;3;3;237;3;0,39;0,35;1;15;3;3;239;179;3;3
FAVE [VICIA FABA];30;37;155;80,7;5,4;0;5,4;4,2;3,8;0,4;0,2;0,03;0,04;0,08;0,04;0,08;0,01;0;0;5,1;0;1,8;23;18;210;98;0,9;0,2;0,1;1,2;24;0,06;145;11;66;0,46;0
FAVE SECCHE;100;342;1431;13,3;27,2;0;27,2;55,3;50,4;4,9;3;0,5;0,6;1,26;0,6;1,16;0,1;0;0;7;0;5;90;127;1028;420;4,6;0,5;0,28;2,6;4;0,37;145;10;60;0,46;0
FETA;100;250;1046;56,5;15,6;15;0;1,5;0;1,5;20,2;14,19;4,39;0,56;3,77;0,31;0,25;0;70;0;0;0,2;360;1440;95;280;0,9;0,04;0,21;0,2;2;0,07;23;226;33;0,37;0
FETTE BISCOTTATE;100;410;1715;4;11,3;0;11,3;83;80,8;2,2;6;0,83;1,47;2,4;1,43;2,27;0,13;0;4;3,5;0;3,8;55;206;140;124;2;0,5;0,3;2,6;0;0,1;26;0;0;1,3;0
FETTE BISCOTTATE, DOLCI;100;404;1690;6;10,5;0;10,5;81,6;69,8;11,8;6,2;0,88;1,52;2,48;1,48;2,34;0,14;0;0;3,5;0;2,5;30;206;140;109;2;0,5;0,22;4,1;0;0,1;26;0;0;0,23;0
FETTE BISCOTTATE, INTEGRALI;100;365;1527;5;11,2;0;11,2;74,1;64,1;10;5,2;0,76;1,23;2,06;1,19;1,94;0,11;2;0;11;0;4,5;43;837;148;165;1,5;0,42;0,3;5,1;0;0,1;24;0;0;1,3;0
FETTE BISCOTTATE, VITAMINIZZATE;100;410;1715;4;11,3;0;11,3;83;80,8;2,2;6;0,83;1,47;2,4;1,43;2,27;0,13;0;4;3,5;0;5,6;55;206;140;124;2;0,56;0,64;7,2;0;0,8;26;0;0;1,3;0
FETTE DI SEGALE INTEGRALI;100;366;1531;6,1;7,9;0;7,9;65,7;62,6;3,1;1,3;0,15;0,17;0,56;0,15;0,48;0,08;0;0;16,5;0;2,4;31;264;319;269;2,4;0,24;0,15;1;0;0,21;22;0;0;1,36;0
FICHI [FICUS CARICA];75;47;197;81,9;0,9;0;0,9;11,2;0;11,2;0,2;0,04;0,04;0,1;0,04;0,1;0;0;0;2;0;0,5;43;2;270;25;0,2;0,03;0,04;0,4;7;0,09;7;15;90;0,77;0
FICHI D'INDIA [OPUNTIA FICUS INDICA];64;53;222;83,2;0,8;0;0,8;13;0;13;0,1;0,01;0,01;0,04;0,01;0,04;2;0;0;5;0;0,4;30;5;238;25;0,7;0,01;0,03;0,5;2;0,08;8;10;60;0,01;0
FICHI SECCATI AL FORNO E MANDORLATI;100;277;1159;18,3;5,2;0;5,2;58,2;0;58,2;4,2;0,84;0,93;2,01;0,92;2,01;0;0;0;10,4;0;3;186;87;1010;111;0,9;0,14;0,1;0,6;0;0,26;9;8;48;0;0
FICHI SECCATI AL SOLE;100;232;971;17;3,6;0;3,6;52,9;0;52,9;2,1;0,42;0,46;1;0,46;1;0;0;0;18,5;0;4,2;280;87;1010;92;0,9;0,16;0,12;1,7;0;0,26;9;8;50;0;0
FICHI SECCHI;100;242;1013;19,4;3,5;0;3,5;58;0;58;2,7;0,54;0,6;1,29;0,6;1,29;0;0;0;10,4;0;3;186;87;1010;111;0,9;0,14;0,1;0,6;0;0,26;9;8;48;0;0
FINOCCHIO [PHOENICULUM VULGARE];59;9;38;93,2;1,2;0;1,2;1;0;1;0;0;0;0;0;0;0;0;0;2,2;0;0,4;45;141;276;39;0,1;0,02;0,04;0,5;12;0,07;49;2;12;0,2;0
FINOCCHIO [PHOENICULUM VULGARE], SEMI;100;345;1443;8,8;15,8;0;15,8;12,5;0;12,5;14,9;0,48;9,91;1,69;9,91;1,69;0;0;0;39,8;0;12,3;1200;88;1660;510;3,7;0,41;0,35;10,3;0;0,44;0;14;81;2,72;0
FIOCCHI DI AVENA;100;395;1653;10,3;8;0;8;73,5;73,5;0;7,5;1,32;2,36;2,74;2,35;2,62;0,12;0;0;8,3;0;5,2;54;33;370;365;3,1;0,55;0,14;1;0;0,12;32;0;0;1,5;0
FIOCCHI DI CRUSCA DI GRANO;100;319;1335;3;10,2;0;10,2;69,7;50,7;19;1,9;0,44;0,21;1,16;0,21;1,1;0,06;0;0;17,3;0;40;50;910;540;370;1,9;1;1,5;16;35;1,8;250;0;0;0,6;0
FIOCCHI DI LATTE MAGRO;100;102;427;79;11,7;11;0;2,6;0;2,6;5,3;3,17;1,68;0,15;1,39;0,07;0,08;0;13;0;0;0,1;73;380;89;160;0,6;0,03;0,26;0,1;2;0,08;27;46;10;0,08;0
FIOCCHI DI MAIS (CORNFLAKES);100;364;1523;5;6,6;0;6,6;88,1;77,7;10,4;0,8;0,13;0,23;0,39;0,23;0,38;0,01;0;0;3,8;0;2,8;74;11;99;58;0,3;1;1,5;16;0;1,8;250;0;0;0,53;0
FIOCCHI DI RISO;100;346;1448;12,6;6,6;0;6,6;77,5;77,5;2;1,2;0,26;0,3;0,42;0,3;0,42;2;0;0;2,2;0;8;20;4;150;150;1,8;0,21;0,05;4;0;0,31;20;0;0;0,1;0
FIOCCHI D'ORZO;100;360;1506;12,8;10,6;0;10,6;80;80;2;1,9;0,4;0,24;0,92;0,2;0,83;0,09;0;0;14,8;0;6;39;4;560;393;3,3;0,16;0,08;5,5;0;0,56;50;0;0;0,9;0
FIOR DI LATTE;100;265;1109;54,8;20,6;20;0;2;0;2;20,3;12,6;6,57;0,72;5,55;0,42;0,3;0;90;0;0;0,4;162;118;75;355;1,4;0,03;0,27;0,3;0;0,09;19;240;180;0,33;0
FIORI DI ZUCCA [CUCURBITA PEPO];79;12;50;94,3;1,7;0;1,7;0,5;0;0,5;0,4;0,21;0,05;0,02;0,02;0,01;0,01;0;0;0,5;0;2;39;6;203;37;0,2;0,09;0,16;0,8;28;0,09;69;252;1512;0,12;0
FOCACCIA;100;292;1222;28,5;8,4;0;8,4;40,7;30,8;9,9;11,8;2;7,93;1,74;7,84;1,58;0,16;0;0;4,9;0;2;9;218;128;39;0,5;0,21;0,08;1,3;1;0,13;55;0;0;0,51;0
FOGLIE DI RAPA [BRASSICA RAPA];63;22;92;92,5;2,6;0;2,6;2,8;0;2,8;0,1;0,02;0,01;0,04;2;0,01;0,03;0;0;2,4;0;2,7;169;34;249;48;0,2;0,08;0,37;1,8;81;0,22;163;299;1794;2,44;0
FONTINA;100;343;1435;41,1;24,5;24;0;0,8;0;0,8;26,9;14,73;6,9;1,42;6,13;0,74;0,68;0;80;0;0;0,3;870;451;89;561;3,5;0,01;0,45;0,2;0;0,08;6;153;80;0,35;0
FORMAGGINO;100;309;1293;52,6;11,2;11;0;6;0;6;26,9;16,08;8,58;0,73;7,07;0,36;0,38;0;93;0;0;0,3;430;1000;108;650;3,2;0,02;0,3;0,1;0;0,08;18;260;120;0,55;0
FORMAGGINO, a basso tenore di lipidi;100;239;1000;56,4;14,7;14;0;6,5;0;6,5;17,3;10,34;5,52;0,47;4,55;0,23;0,24;0;64;0;0;0,3;430;1000;181;665;2,2;0,02;0,2;0,1;0;0,08;18;205;106;0,55;0
FORMAGGIO AL GORGONZOLA E AL MASCARPONE;100;406;1699;43,4;13,5;13;0;0,1;0;0,1;39,1;22,13;11,69;1,25;10,09;0,75;0,51;0;91;0;0;0,3;340;768;96;227;1,5;0,01;0,2;0,5;0;0,06;32;359;213;0,77;0
FORMAGGIO SPALMABILE (tipo Philadelphia);100;313;1310;58;8,6;8;0;2;0;2;31;18,52;9,87;0,84;8,15;0,41;0,43;0;90;0;0;0,1;110;330;150;130;0,7;0,03;0,17;0,1;2;0,05;13;293;105;0,24;0
FRAGOLE [FRAGARIA VESCA];94;27;113;90,5;0,9;0;0,9;5,3;0;5,3;0,4;0,02;0,06;0,2;0,06;0,12;0,08;0;0;1,6;0;0,8;35;2;160;28;0,1;0,02;0,04;0,5;54;0,05;18;2;2;0,18;0
FRUMENTO DURO [TRITICUM DURUM];100;314;1314;11,5;13;0;13;63;59,8;3,2;2,9;0,53;0,4;1,15;0,39;1,09;0,06;0;0;12,6;0;3,6;30;2;431;330;4,2;0,43;0,15;5,7;0;0,42;43;0;0;1,01;0
FRUMENTO TENERO [TRITICUM AESTIVUM];100;319;1335;12;12,3;0;12,3;65,8;62,5;3,3;2,6;0,6;0,29;1,59;0,29;1,51;0,08;0;0;1,7;0;3,3;35;2;397;304;2,6;0,42;0,14;5,4;0;0,27;41;0;0;1,44;0
FUNGHI CHIODINI [ARMILLARIA MELLEA];50;15;63;89;2,1;0;2,1;0,1;0,1;0,1;0,7;0,15;2;0,38;2;0,07;0,31;0;0;6,8;0;0,9;4;5;429;121;0,4;0,1;0,13;4,2;5;0,18;44;0;0;0,12;2
FUNGHI GALLINACCI [CANTHARELLUS CIBARIUS FRIES];39;11;46;91,5;1,6;0;1,6;0,2;0;0,2;0,5;0,09;2;0,27;2;0,05;0,22;0;0;4,7;0;6,5;4;3;367;56;0,7;0,02;0,23;6,5;6;0,18;44;217;1300;0,12;2
FUNGHI GALLINACCI, secchi;100;93;389;10;16,5;0;16,5;1,8;0,9;0,9;2,2;0,52;0,03;1,21;0,02;0,23;0,98;0;0;60,5;0;17,2;85;32;5370;581;0,4;0,1;0,13;4,2;2;0,18;44;0;0;0,12;2
FUNGHI IN SCATOLA;100;27;113;92;3;0;3;3;0;3;0,4;0,05;0,01;0,16;0,01;0,15;2;2;0;2,4;0;0,1;20;250;150;70;0,7;0,02;0,19;1,6;2;0,06;12;0;0;0,12;2
FUNGHI OVULI [AMANITA CAESARIA, OVULO EDULE];87;18;75;92,9;2;0;2;1,9;1;1;0,3;0,07;2;0,17;2;0,03;0,14;0;0;1,7;0;1,1;17;5;320;89;0,4;0,1;0,31;4;3;0,18;44;0;0;0,12;2
FUNGHI PORCINELLI [LECINUM SCABRUM];30;24;100;88,5;3,1;0;3,1;1,6;0,3;1,3;0,6;0,13;2;0,33;2;0,06;0,27;0;0;6,5;0;1,6;2;2;360;83;0,1;0,1;0,44;4,9;7;0,18;44;0;0;0,12;3
FUNGHI PORCINI [BOLETUS EDULIS];92;27;113;92;3,9;0;3,9;1,4;0,2;1,2;0,7;0,15;2;0,38;2;0,07;0,31;0;0;2,5;0;1,2;22;52;235;142;0,1;0,38;0,26;4;3;0,18;44;0;0;0,12;3
FUNGHI PRATAIOLI, COLTIVATI [AGARICUS CAMPESTRIS];90;20;84;92,1;2,3;0;2,3;1,9;1;1;0,4;0,1;0,01;0,22;2;0,04;0,18;0;0;1,7;0;1,2;10;5;320;102;0,4;0,1;0,13;4,2;4;0,18;44;0;0;0,12;0
FUNGHI SECCHI;100;147;615;13;40,6;0;40,6;15,6;1,8;13,8;4,6;1,15;1,43;0,65;0,65;0,59;0,06;2;0;10;0;28,9;28;87;2846;612;12,2;0,3;1,27;14,1;2;0,97;163;0;0;0,12;2
FUNGHI SHIITAKE [LENTINUS EDODES], secchi;100;296;1238;9,5;16,3;0;16,3;63,9;7,4;56,5;1;0,25;0,31;0,14;0,14;0,13;0,01;0;0;11,5;0;1,7;11;13;1530;290;7,7;0,3;1,27;14,1;2;0,97;163;0;0;0,12;2
FUNGHI SOTT'OLIO;100;48;201;86;3,3;0;3,3;2;0;2;3,9;0,48;1,19;1,98;1,17;1,8;0,17;0;0;1,6;0;0,8;15;1650;99;98;0,4;0,1;0,12;4;2;0,17;42;0;0;2,03;2
FUNGHI SPUGNOLI [MORCHELLA ESCULENTA];17;17;71;90;1,7;0;1,7;1,9;1;1;0,3;0,07;2;0,17;2;0,03;0,14;0;0;7;0;1,2;11;2;390;162;0,4;0,13;0,06;4,2;5;0,18;44;0;0;0,19;3
GALLINA [GALLUS GALLUS];70;195;816;66;20,9;20;0;0,2;0;0,2;12,3;4,09;5,53;1,86;4,63;1,57;0,08;0;89;0;0;1,6;15;60;320;205;0,8;0,3;0,1;4;0;0,38;11;0;0;0,14;0
GAMBERETTI DI LAGO [ASTACUS spp];100;105;439;76;17,1;17;0;0;0;0;4,1;0,69;0,75;1,26;0,49;0,22;0,14;0;105;0;0;2,2;33;150;260;240;1,3;0,05;0,04;1,9;2;0,07;30;2;2;2,85;2
GAMBERETTI SURGELATI;100;63;264;83;13,6;13;0;2;0;2;1;0,17;0,18;0,31;0,12;0,05;0,03;0;178;0;0;2,4;118;344;68;136;0,9;2;0,02;0,5;2;0,07;13;2;2;2,85;2
GAMBERO [CRANGON VULGARIS];45;71;297;80,1;13,6;13;0;2,9;0;2;0,6;0,09;0,13;0,19;0,08;0,01;0,01;0;150;0;0;1,8;110;146;266;349;1,1;0,08;0,1;3,2;2;0,08;14;2;2;0,82;2
GELATINA ALIMENTARE, secca;100;354;1481;10;88,3;88;0;0;0;0;0,1;0,04;0,05;2;0,04;2;2;2;0;0;0;2,1;250;100;10;32;0,2;2;2;2;0;2;2;0;0;0;0
GELATO AL CIOCCOLATO;100;216;904;55,7;3,8;3;3;27;0;27;11;6,8;3,21;0,41;2,97;0,25;0,15;0;34;1,2;0;0,9;109;76;249;107;0,6;0,04;0,19;0,2;2;0,06;16;119;60;0,33;0
GELATO ALLA FRUTTA;100;179;749;59,8;3,5;3;0;24,7;2;23,7;8;4,96;2,59;0,28;2,19;0,16;0,12;0;26;0;0;0,5;110;61;180;99;0,4;0,04;0,26;0,2;1;0,07;9;121;160;0,17;0
GELATO FIOR DI LATTE;100;218;912;60,6;4,2;4;0;20,7;0;20,7;13,7;8,58;3,95;0,51;3,44;0,31;0,2;0;40;0;0;0,4;185;100;150;165;0,3;0,06;0,1;0,1;0;0,08;7;120;60;0,21;0
GERME DI GRANO;100;416;1741;10;28;0;28;55;35,3;19,7;10;1,72;1,41;6,2;1,37;5,45;0,75;0;0;15,6;0;10;0;3;827;1100;17;2,44;0,61;6,2;0;3,3;331;240;1440;22;0
GERMOGLI DI ERBA MEDICA [MEDICAGO SATIVA];100;24;100;93,4;4;0;4;0,4;2;0,3;0,7;0,07;0,06;0,41;0,06;0,23;0,18;0;0;1,7;0;1;32;6;79;70;0,9;0,04;0,06;0,5;2;0,03;36;16;96;0,01;0
GHIACCIOLO ALL'ARANCIO;100;137;573;64;0;0;0;36,5;0;36,5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;2;0;0;0;12;0;0;0;0;0;0
GIARDINIERA SOTT'ACETO;100;7;29;93;0,4;0;0,4;0,6;0,1;0,4;0,3;0,03;0,15;0,07;0,06;0,04;0,04;0;0;1,8;0;2;35;821;70;23;0,5;0,01;0,01;0,1;4;0,1;10;37;220;0,31;0
GIARDINIERA SOTT'OLIO;100;58;243;84,5;2,6;0;2,6;1,3;0,8;0,6;4,8;0,58;1,52;2,42;1,5;2,31;0,11;0;0;2,5;0;0,9;30;1352;123;81;0,4;0,08;0,11;2,3;0;0,1;53;9;51;2,51;0
GIRASOLE, SEMI;100;581;2431;4,4;19,8;0;19,8;18,6;16,3;1,7;47,5;5,34;15,85;23,86;15,63;23,7;0,16;0;0;6,2;0;6,4;110;3;710;640;5,1;1,6;0,19;4,1;0;0,77;227;3;15;37,77;0
GOMME DA MASTICARE;100;341;1427;2,6;0;0;0;96,7;0;96,7;0,3;0,04;0,08;0,14;0,08;0,13;2;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0
GORGONZOLA;100;359;1502;42,4;19,4;19;0;0,1;0;0,1;31,2;15,08;8,17;0,84;7,32;0,52;0,32;0;87;0;0;0,3;612;1450;138;356;2,5;0,01;0,18;0,9;0;0,07;52;364;168;0,54;0
GORGONZOLA CON LE NOCI;100;371;1552;41;19,3;18;0,7;0,4;0,1;0,3;32,5;14,69;8,2;2,33;7,38;1,77;0,56;0;84;0,3;0;0,4;591;1392;147;357;2,6;0,03;0,18;0,9;0;0,09;53;350;163;0,67;0
GOUDA FRESCO;100;344;1439;44;23;23;0;2;0;2;28;17,97;7,91;0,67;6,52;0,27;0,4;0;100;0;0;0,5;560;1250;100;350;1,8;0,03;0,2;0,1;1;0,08;43;360;180;0,48;0
GOUDA STAGIONATO;100;361;1510;41;25;25;0;2;0;2;29;18,62;8,19;0,69;6,75;0,28;0,42;0;100;0;0;0,5;600;1250;100;380;1,8;0,03;0,2;0,1;1;0,08;43;393;200;0,53;0
GRANA;100;381;1594;30,5;35,5;35;0;3,7;0;3,7;25;16,5;7,83;0,7;7,26;0,33;0,37;0;85;0;0;0,8;1290;446;100;702;6,2;0,02;0,12;0,1;0;0,1;20;228;170;0,9;0
GRANCHIO [CALLINECTES SAPIDUS];35;87;364;79;18,1;18;0;2;0;2;1,1;0,22;0,19;0,39;0,1;0,01;0;0;78;0;0;0,7;89;293;329;229;3,5;0,08;0,04;2,7;3;0,15;44;2;2;1;2
GRANCHIO, POLPA IN SCATOLA;100;77;322;79,2;18,1;18;0;2;0;2;0,5;0,1;0,09;0,18;0,05;0,01;0;0;72;0;0;2,8;120;550;100;140;5,7;2;0,05;1,1;2;0,15;43;2;2;1;2
